Provinsi,Pencari Kerja Terdaftar - Laki-Laki,Pencari Kerja Terdaftar - Perempuan,Pencari Kerja Terdaftar - Jumlah,Lowongan Kerja Terdaftar - Laki-Laki,Lowongan Kerja Terdaftar - Perempuan,Lowongan Kerja Terdaftar - Jumlah,Penempatan/Pemenuhan Tenaga Kerja - Laki-Laki,Penempatan/Pemenuhan Tenaga Kerja - Perempuan,Penempatan/Pemenuhan Tenaga Kerja - Jumlah
Aceh,8742,5235,13977,577,570,1147,838,608,1446
Sumatera Utara,28257,24285,52542,3693,2203,5896,4862,2611,7473
Sumatera Barat,18751,17534,36285,19148,1368,20516,3670,1864,5534
Riau,16517,8535,25052,546,227,773,2111,791,2902
Jambi,14881,8343,23224,2966,1588,4554,3708,1762,5470
Sumatera Selatan,30774,17400,48174,2733,1896,4629,5195,2977,8172
Bengkulu,4982,3245,8227,1014,485,1499,935,544,1479
Lampung,20201,22524,42725,1473,1377,2850,2423,3042,5465
Kepulauan Bangka Belitung,3075,2422,5497,428,192,620,637,293,930
Kepulauan Riau,12407,9739,22146,221,29,250,1834,1349,3183
DKI Jakarta,56518,28867,85385,7632,5170,12802,10146,5670,15816
Jawa Barat,296917,245233,542150,21782,13764,35546,39225,34700,73925
Jawa Tengah,117716,100297,218013,16711,18480,35191,24731,23519,48250
DI Yogyakarta,10930,8062,18992,1261,786,2047,2308,1465,3773
Jawa Timur,127094,93294,220388,29453,21710,51163,33852,22319,56171
Banten,74545,50965,125510,3792,3905,7697,9224,5505,14729
Bali,11864,8183,20047,1024,770,1794,1360,1065,2425
Nusa Tenggara Barat,40643,12211,52854,1980,687,2667,2145,866,3011
Nusa Tenggara Timur,6411,8229,14640,1761,1435,3196,2064,2912,4976
Kalimantan Barat,13148,8848,21996,1743,1268,3011,2567,1484,4051
Kalimantan Tengah,12154,5145,17299,1333,74,1407,1330,278,1608
Kalimantan Selatan,11441,3774,15215,444,79,523,1348,246,1594
Kalimantan Timur,12735,4186,16921,385,190,575,1855,376,2231
Kalimantan Utara,2709,1848,4557,861,696,1557,991,729,1720
Sulawesi Utara,5735,4786,10521,1078,725,1803,1347,844,2191
Sulawesi Tengah,15391,7118,22509,1851,481,2332,4874,961,5835
Sulawesi Selatan,43432,23528,66960,3463,2166,5629,9639,3330,12969
Sulawesi Tenggara,10200,6118,16318,1193,789,1982,2551,961,3512
Gorontalo,2150,1424,3574,150,156,306,257,180,437
Sulawesi Barat,5075,3103,8178,972,664,1636,1396,806,2202
Maluku,6842,4251,11093,116,52,168,853,165,1018
Maluku Utara,16209,6681,22890,135,33,168,1978,199,2177
Papua Barat,1467,1226,2693,206,168,374,277,197,474
Papua,1957,1321,3278,344,320,664,436,341,777
Indonesia,1061870,757960,1819830,132469,84503,216972,182967,124959,307926
