Provinsi,2009_laki-laki,2009_perempuan,2009_jumlah,2010_laki-laki,2010_perempuan,2010_jumlah,2011_laki-laki,2011_perempuan,2011_jumlah,2012_laki-laki,2012_perempuan,2012_jumlah,2013_laki-laki,2013_perempuan,2013_jumlah,2014_laki-laki,2014_perempuan,2014_jumlah,2015_laki-laki,2015_perempuan,2015_jumlah,2016_laki-laki,2016_perempuan,2016_jumlah,2017_laki-laki,2017_perempuan,2017_jumlah,2018_laki-laki,2018_perempuan,2018_jumlah,2019_laki-laki,2019_perempuan,2019_jumlah,2020_laki-laki,2020_perempuan,2020_jumlah,2021_laki-laki,2021_perempuan,2021_jumlah,2022_laki-laki,2022_perempuan,2022_jumlah,2023_laki-laki,2023_perempuan,2023_jumlah,2024_laki-laki,2024_perempuan,2024_jumlah
Aceh,78.12,21.88,100.00,79.11,20.89,100.00,80.25,19.75,100.00,79.28,20.72,100.00,79.19,20.81,100.00,79.31,20.69,100.00,79.37,20.63,100.00,79.37,20.63,100.00,79.32,20.68,100.00,79.25,20.75,100.00,79.10,20.90,100.00,77.54,22.46,100.00,79.93,20.07,100.00,80.67,19.33,100.00,84.27,15.73,100.00,84.19,15.81,100.00
Sumatera Utara,84.96,15.04,100.00,84.72,15.28,100.00,84.36,15.64,100.00,84.31,15.69,100.00,84.32,15.68,100.00,84.19,15.81,100.00,84.29,15.71,100.00,84.28,15.72,100.00,84.25,15.75,100.00,83.58,16.42,100.00,82.28,17.72,100.00,81.44,18.56,100.00,83.23,16.77,100.00,85.75,14.25,100.00,86.98,13.02,100.00,87.55,12.45,100.00
Sumatera Barat,84.06,15.94,100.00,83.40,16.60,100.00,83.56,16.44,100.00,83.56,16.44,100.00,83.32,16.68,100.00,82.96,17.04,100.00,83.33,16.67,100.00,82.98,17.02,100.00,83.24,16.76,100.00,83.99,16.01,100.00,83.15,16.85,100.00,83.22,16.78,100.00,84.53,15.47,100.00,86.29,13.71,100.00,85.98,14.02,100.00,86.51,13.49,100.00
R i a u,90.18,9.82,100.00,90.81,9.19,100.00,90.95,9.05,100.00,91.15,8.85,100.00,90.28,9.72,100.00,90.46,9.54,100.00,91.01,8.99,100.00,90.18,9.82,100.00,90.18,9.82,100.00,90.48,9.52,100.00,89.08,10.92,100.00,88.78,11.22,100.00,88.21,11.79,100.00,90.84,9.16,100.00,91.53,8.47,100.00,91.26,8.74,100.00
J a m b i,89.76,10.24,100.00,89.40,10.60,100.00,89.02,10.98,100.00,89.75,10.25,100.00,88.66,11.34,100.00,88.92,11.08,100.00,89.72,10.28,100.00,88.77,11.23,100.00,89.55,10.45,100.00,89.06,10.94,100.00,88.54,11.46,100.00,88.50,11.50,100.00,89.28,10.72,100.00,90.22,9.78,100.00,92.03,7.97,100.00,91.92,8.08,100.00
Sumatera Selatan,91.21,8.79,100.00,90.79,9.21,100.00,91.11,8.89,100.00,90.42,9.58,100.00,89.65,10.35,100.00,90.13,9.87,100.00,90.24,9.76,100.00,89.78,10.22,100.00,90.02,9.98,100.00,89.90,10.10,100.00,89.17,10.83,100.00,88.25,11.75,100.00,89.48,10.52,100.00,91.60,8.40,100.00,92.40,7.60,100.00,92.85,7.15,100.00
Bengkulu,90.76,9.24,100.00,90.12,9.88,100.00,89.67,10.33,100.00,89.74,10.26,100.00,90.88,9.12,100.00,90.20,9.80,100.00,90.82,9.18,100.00,90.47,9.53,100.00,91.08,8.92,100.00,90.47,9.53,100.00,89.65,10.35,100.00,89.04,10.96,100.00,90.66,9.34,100.00,92.20,7.80,100.00,93.41,6.59,100.00,93.96,6.04,100.00
Lampung,91.20,8.80,100.00,90.25,9.75,100.00,90.76,9.24,100.00,90.77,9.23,100.00,90.65,9.35,100.00,90.20,9.80,100.00,90.99,9.01,100.00,90.62,9.38,100.00,90.02,9.98,100.00,89.53,10.47,100.00,89.47,10.53,100.00,89.19,10.81,100.00,90.50,9.50,100.00,92.33,7.67,100.00,92.04,7.96,100.00,92.85,7.15,100.00
Kepulauan Bangka Belitung,89.84,10.16,100.00,90.07,9.93,100.00,89.09,10.91,100.00,89.93,10.07,100.00,89.50,10.50,100.00,90.56,9.44,100.00,91.06,8.94,100.00,90.40,9.60,100.00,91.57,8.43,100.00,91.59,8.41,100.00,88.26,11.74,100.00,88.19,11.81,100.00,88.71,11.29,100.00,91.33,8.67,100.00,94.82,5.18,100.00,93.30,6.70,100.00
Kepulauan Riau,84.94,15.06,100.00,89.62,10.38,100.00,88.34,11.66,100.00,90.29,9.71,100.00,89.74,10.26,100.00,89.16,10.84,100.00,88.74,11.26,100.00,88.57,11.43,100.00,87.34,12.66,100.00,87.97,12.03,100.00,88.40,11.60,100.00,83.21,16.79,100.00,84.44,15.56,100.00,90.02,9.98,100.00,90.65,9.35,100.00,91.57,8.43,100.00
